method,size,split,seed,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_mode,split_rule,notes
LPT,small,test,170010,small_test_0010_seed_170010,259.1009889351812,163.34643155169715,45.92661946973826,0.5501555229489116,23.987209570864398,0.4166666666666667,10.0,0.0011827999842353165,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170010,small_test_0010_seed_170010,237.33100000000002,125.5594236902261,13.520013287422719,0.5981556108429564,34.32819846016412,0.4166666666666667,10.0,0.0010941000073216856,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170010,small_test_0010_seed_170010,201.33627988206297,117.07769684406905,11.032727643763769,0.709192354397665,28.551632039282037,0.4166666666666667,10.0,0.09847460000310093,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170011,small_test_0011_seed_170011,260.48602252617627,139.43465646407824,28.61774066397379,0.5481514761803176,47.8545817345157,0.375,10.0,0.0011168000055477023,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170011,small_test_0011_seed_170011,251.88402252617627,132.14266079936303,19.376935942087204,0.563204646097571,49.05543374665642,0.375,10.0,0.00108889996772632,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170011,small_test_0011_seed_170011,303.2674260312311,142.87292921022978,29.968570660149194,0.48820870645308173,58.37724548109245,0.375,10.0,0.0011712000123225152,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170011,small_test_0011_seed_170011,256.79302252617623,162.03344672391754,49.25086317355167,0.5701425737156677,50.295658570975945,0.375,10.0,0.00124149996554479,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170011,small_test_0011_seed_170011,251.88402252617627,140.23750832177308,27.869784858777724,0.5629532157993439,47.542844927057516,0.375,10.0,0.0012196000316180289,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170011,small_test_0011_seed_170011,263.55402252617625,132.45405970569433,22.79801659264174,0.5479394068476287,53.651905288094824,0.375,10.0,0.11872900003800169,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170012,small_test_0012_seed_170012,223.38965638973085,134.62074563094822,24.79237524827342,0.5715452557368086,61.64199557592478,0.625,19.0,0.0010514000314287841,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170012,small_test_0012_seed_170012,217.64729215768628,126.015659531388,14.757178037663172,0.5826645535389803,62.68717123035958,0.625,19.0,0.001057300018146634,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170012,small_test_0012_seed_170012,249.61347995667106,140.12521072689148,37.35170796848429,0.5145859271174325,63.51914371584054,0.625,19.0,0.0014239000156521797,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170012,small_test_0012_seed_170012,224.85966788994713,149.29467200265643,41.268279747431876,0.5579372467361058,64.36609727634874,0.625,19.0,0.0012586999800987542,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170012,small_test_0012_seed_170012,240.52866788994714,133.20022750764772,31.264568939487848,0.5226089773418776,62.83400054263089,0.625,19.0,0.0011748999822884798,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170012,small_test_0012_seed_170012,230.58774171404377,121.01447425246272,28.054061157754365,0.5521706832245726,63.316210517417694,0.625,19.0,0.12431250000372529,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170013,small_test_0013_seed_170013,223.78305149787914,133.5713245824478,17.41228629801144,0.5644402235671587,39.292187212025084,0.5,13.0,0.0010485000093467534,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170013,small_test_0013_seed_170013,193.51772629587336,116.88471049080458,11.265552807488191,0.6493137835572783,39.722570104562394,0.5,13.0,0.0010261000134050846,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170013,small_test_0013_seed_170013,248.71829585704776,129.31313851494994,21.607829492440604,0.5103737866879958,39.63609649506928,0.5,13.0,0.0010783000034280121,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170013,small_test_0013_seed_170013,244.71423986265248,160.08893521215933,45.77650958601817,0.515102481996928,40.60183493093278,0.5,13.0,0.0011514999787323177,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170013,small_test_0013_seed_170013,193.51772629587336,118.544879775236,13.955481284013553,0.6486660768571383,40.31679818138171,0.5,13.0,0.001095999963581562,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170013,small_test_0013_seed_170013,220.75405149787915,116.79586053731389,13.010266988585306,0.5757482391212693,42.47532178610036,0.5,13.0,0.11104859999613836,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170014,small_test_0014_seed_170014,245.27162686484832,122.29272674479176,16.523337615372935,0.47656471932570443,67.92498150782664,0.625,19.0,0.0011381999938748777,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170014,small_test_0014_seed_170014,223.19338382578067,115.16916244323755,10.120602440506643,0.5301825285251376,67.41447552496398,0.625,19.0,0.0010180000099353492,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170014,small_test_0014_seed_170014,284.5803838257807,129.90470056140904,29.81216334652912,0.42760031286189676,70.59684656370219,0.625,19.0,0.0010916999890469015,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170014,small_test_0014_seed_170014,249.9162653601396,150.96982130492896,43.28225733769282,0.4796501551078949,66.70867059174466,0.625,19.0,0.0011774000013247132,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170014,small_test_0014_seed_170014,242.07436773736634,117.14156243822782,18.292803312688118,0.4850856582337754,66.31031702753482,0.625,19.0,0.0010550000006332994,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170014,small_test_0014_seed_170014,249.16187369915997,114.00178767249606,19.99238335058317,0.46912395656703326,67.92498150782664,0.625,19.0,0.0950827999622561,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170015,small_test_0015_seed_170015,204.25744610113452,125.87545759064358,22.418789061812493,0.6291419170854602,23.194479780995284,0.5416666666666666,13.0,0.0010360999731346965,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170015,small_test_0015_seed_170015,199.71544610113452,120.08577812525488,15.162448992023565,0.6328031111101478,22.265710761359205,0.5416666666666666,13.0,0.0010056000319309533,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170015,small_test_0015_seed_170015,228.09368892736887,134.73040974112016,32.71091384269098,0.5516395995904583,28.418601877545942,0.5416666666666666,13.0,0.0011155999964103103,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170015,small_test_0015_seed_170015,228.56117883065883,154.08931418160606,51.62003154060097,0.5584576708467363,13.99757377238953,0.5416666666666666,13.0,0.0011740000336430967,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170015,small_test_0015_seed_170015,199.71544610113452,121.69917522521375,16.833509450562445,0.6372792050535052,23.301162457658624,0.5416666666666666,13.0,0.0012822000426240265,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170015,small_test_0015_seed_170015,199.71544610113452,119.61652520442509,17.47250850410657,0.6316152961264134,25.45029853194789,0.5416666666666666,13.0,0.1150033000158146,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170016,small_test_0016_seed_170016,243.83837636308047,135.94712856994911,19.931409921353726,0.47525596212649074,60.69822121189819,0.125,3.0,0.0010082999942824244,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170016,small_test_0016_seed_170016,265.51037636308047,126.97827955482079,11.250810906225373,0.4355861482552545,65.80249506920389,0.125,3.0,0.001451499992981553,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170016,small_test_0016_seed_170016,289.08403338317135,134.56153588232996,17.290858900401204,0.40047845784215624,73.01577359187908,0.125,3.0,0.0014924000133760273,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170016,small_test_0016_seed_170016,243.83837636308047,148.82490317604075,33.07530952744536,0.49481282744375965,50.61831673600368,0.125,3.0,0.0012243000091984868,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
