size,split,ordering,split_strategy,num_instances,Cmax_roll_mean,Cmax_roll_std,average_completion_time_mean,average_completion_time_std,average_waiting_time_mean,average_waiting_time_std,machine_utilization_mean,machine_utilization_std,split_task_ratio_mean,split_task_ratio_std,total_split_count_mean,total_split_count_std,inference_time_mean,inference_time_std,valid_ratio,overlap_violation_mean,release_time_violation_mean,machine_eligibility_violation_mean,split_ratio_violation_mean,processing_time_violation_mean,completion_time_violation_mean,cmax_check_pass_ratio
medium,test,GreedyECT,GreedyECTSplit,50,361.55967519280216,32.500044273191705,173.37205450375063,11.754766747760684,19.202484115691526,6.299401959076357,0.550103332810588,0.04214307849763442,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.007437350006075576,0.001119459043978003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,MaxSplit,50,361.55967519280216,32.500044273191705,173.37205450375063,11.754766747760684,19.202484115691526,6.299401959076357,0.550103332810588,0.04214307849763442,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.007558990004472434,0.001496726394700003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,NoSplit,50,357.66704,32.3817484067553,179.222771875,10.94990082184011,14.9740384375,5.199089835094307,0.5477576351478095,0.049864401452004284,0.0,0.0,0.0,0.0,0.008819019997026771,0.002650480699378931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,OracleSplitDebug,50,362.86393838046865,33.04733602385177,173.2764256446432,11.439624939172088,19.15666647880103,5.976725645988735,0.5475031315717572,0.0420484582184938,0.6284375,0.05840406797689695,59.12,6.781268317947609,0.008751612001797185,0.004272369394874951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,RandomSplit,50,362.3760560904871,30.66306808137298,177.23395442502587,11.058949504340466,17.079206208152332,6.154702678245804,0.543395229457444,0.0457360648942218,0.310625,0.045246719494345666,26.86,4.694720438961196,0.008761091997148468,0.0041004715465510965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,SpeedRatioSplit,50,361.55967519280216,32.500044273191705,173.37205450375063,11.754766747760684,19.202484115691526,6.299401959076357,0.550103332810588,0.04214307849763442,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.0075526719959452746,0.0013352506471112871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,EqualSplit,50,220.83610666666667,30.009597028483324,121.79997722222222,10.82554992344919,13.694737083333333,5.893277401038596,0.575568935741125,0.06842020068438834,0.52,0.12310790208412925,13.92,3.503369806343601,0.0007945580023806542,3.8999630419450804e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,GreedyECTSplit,50,220.16069225502534,27.90403009555317,121.65266502584963,10.832666211798662,13.457351363873155,5.707246428697696,0.5742541830599985,0.06504541511995592,0.52,0.12310790208412925,13.92,3.503369806343601,0.0007892440003342926,5.889992441290898e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,MaxSplit,50,220.16069225502534,27.90403009555317,121.65266502584963,10.832666211798662,13.457351363873155,5.707246428697696,0.5742541830599985,0.06504541511995592,0.52,0.12310790208412925,13.92,3.503369806343601,0.0007863199932035058,4.678345035809202e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,NoSplit,50,221.6756,29.91142977124297,124.27197166666667,11.103665235196367,14.38942,5.910481309344772,0.5655179190289666,0.06614833247952098,0.0,0.0,0.0,0.0,0.0007700619962997734,5.1530843855535846e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,OracleSplitDebug,50,216.31803747957986,28.43252803551202,121.03272404508762,11.033379924179728,14.643988506159717,6.125382791516636,0.5807321940112414,0.06849066573092774,0.23916666666666667,0.1040198966010296,6.14,2.7277096619691767,0.001028168002376333,5.821133870853661e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,RandomSplit,50,221.4403471773404,29.553066849155265,123.93081787639979,11.320550995298257,14.305881085523792,6.026494711956949,0.5676689125020704,0.06711094655393898,0.1625,0.06521864934374387,4.48,1.9923855048659633,0.0008090300031471997,7.301291171120348e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,FIFO,SpeedRatioSplit,50,220.16069225502534,27.90403009555317,121.65266502584963,10.832666211798662,13.457351363873155,5.707246428697696,0.5742541830599985,0.06504541511995592,0.52,0.12310790208412925,13.92,3.503369806343601,0.0008035700023174286,4.734147906419261e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,EqualSplit,50,231.65596,31.512385860246543,120.48899083333333,10.62613325740411,17.233956111111112,5.688610220807669,0.5486692445019629,0.06508938854524429,0.52,0.12310790208412925,13.92,3.503369806343601,0.0014101720019243657,0.00011089769836588005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,GreedyECTSplit,50,230.94271064038006,28.9022568900527,120.06980548399277,10.826468508973068,17.973651623737098,6.056660742842667,0.5447575301225481,0.05930351926539264,0.52,0.12310790208412925,13.92,3.503369806343601,0.0014884619985241444,0.0001248838187536945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,MaxSplit,50,230.94271064038006,28.9022568900527,120.06980548399277,10.826468508973068,17.973651623737098,6.056660742842667,0.5447575301225481,0.05930351926539264,0.52,0.12310790208412925,13.92,3.503369806343601,0.0014879720006138086,0.00012468442655328522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,NoSplit,50,233.09734,30.72908302153515,125.43358083333334,10.362697088131817,15.528889166666666,5.690525230796717,0.5381083940878763,0.06556695844053266,0.0,0.0,0.0,0.0,0.0016297719918657095,0.00017450031156344688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,OracleSplitDebug,50,231.0097738547729,29.744752168184476,119.999207822494,10.940376281870055,17.896399305861998,6.274502140343508,0.5453841021256267,0.06251303805258998,0.49166666666666664,0.10897247358851685,12.96,3.085190431723786,0.0017142819962464274,0.00013426142306802047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,RandomSplit,50,234.28491797815053,29.60314646358474,124.46443479754086,9.63320366140333,16.32622270093237,5.063342359875963,0.5343620611009735,0.0600544940332287,0.14166666666666666,0.06346477588219925,3.88,2.122639865827456,0.0016609680035617202,0.0001821609326431631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
small,test,GreedyECT,SpeedRatioSplit,50,230.94271064038006,28.9022568900527,120.06980548399277,10.826468508973068,17.973651623737098,6.056660742842667,0.5447575301225481,0.05930351926539264,0.52,0.12310790208412925,13.92,3.503369806343601,0.0015330779959913344,0.00011801860408244157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
